friendly	mangled	vtable_rva	subobj_off	col_rva	td_rva	vt0_func_rva
NonFunctionalLoadingScreen	.?AVNonFunctionalLoadingScreen@@	0x640AAB0	0	0x7029278	0x8BC4388	0x3A8D280
NonFunctionalScreen	.?AVNonFunctionalScreen@@	0x62EA940	0	0x6F5F598	0x8B342F8	0x34ADF90
Notifications	.?AVNotifications@@	0x642E390	0	0x70445C8	0x8BD6690	0x3B82CA0
OnlineAdventureFlyerView	.?AVOnlineAdventureFlyerView@@	0x6331010	0	0x6F90120	0x8B4EC38	0x35F5B80
OnlineAdventureFlyerViewBase	.?AVOnlineAdventureFlyerViewBase@@	0x632FD50	0	0x6F927B8	0x8B4EC00	0x35F5C80
OnlineAdventurePlayerList	.?AVOnlineAdventurePlayerList@@	0x63E6168	0	0x70127E8	0x8BB6B88	0x39D8530
OnlineAdventurePlayerSettings	.?AVOnlineAdventurePlayerSettings@@	0x63E6AC0	0	0x7013330	0x8BB6C38	0x39D85E0
OnlineConfirmation	.?AVOnlineConfirmation@@	0x63CF2A0	0	0x7000F50	0x8BABCF8	0x3948290
OnlinePartyList	.?AVOnlinePartyList@@	0x63FA4E0	0	0x701B378	0x8BBC168	0x3A2E240
OnlinePlayerList	.?AVOnlinePlayerList@@	0x63E7DD0	0	0x7012AC0	0x8BB6BB8	0x39D8630
OnlineSeasonalChampionship	.?AVOnlineSeasonalChampionship@@	0x63F3220	0	0x701A9B8	0x8BBC090	0x3A2E2F0
OpponentLabel	.?AVOpponentLabel@@	0x633B448	0	0x6F957D8	0x8B51018	0x3630130
OptionsMenu	.?AVOptionsMenu@@	0x630D240	0	0x6F78200	0x8B418B0	0x3556A20
OSVersion	.?AVOSVersion@@	0x62AB458	0	0x6F30780	0x8B16268	0x3354050
PartyMemberMissingEntitlementPopupPrompt	.?AVPartyMemberMissingEntitlementPopupPrompt@@	0x62C7DB0	0	0x6F47020	0x8B242F8	0x33F91C0
PartyMemberNotQualifiedForLifePromptPopup	.?AVPartyMemberNotQualifiedForLifePromptPopup@@	0x62C8708	0	0x6F472F0	0x8B24340	0x33F92B0
